cve_id,title,description,severity,affected_component,cvss_score,epss_score,notes,remediation_advice
CVE-2021-44228,Log4Shell Remote Code Execution,A critical zero-day vulnerability in Apache Log4j 2 allows remote attackers to execute arbitrary code by exploiting the JNDI lookup feature. Any application using Log4j 2.0-beta9 through 2.14.1 that logs attacker-controlled data is affected.,critical,Apache Log4j 2.0-2.14.1,10.0,0.975,Actively exploited in the wild since December 2021. CISA emergency directive issued. Worm-style exploitation observed.,Upgrade Log4j to 2.17.1 or later. Mitigate immediately by setting -Dlog4j2.formatMsgNoLookups=true JVM flag. Block outbound LDAP/RMI traffic at the firewall.
CVE-2021-26084,Atlassian Confluence OGNL Injection,An OGNL injection vulnerability in Atlassian Confluence Server and Data Center allows an unauthenticated remote attacker to execute arbitrary code on vulnerable systems. The flaw exists in the Confluence WebWork OGNL injection in the template engine.,critical,Atlassian Confluence Server < 7.13.0,9.8,0.974,Actively exploited by multiple threat actors including nation-state groups. Ransomware deployment observed post-exploitation.,Upgrade Confluence to version 7.13.0 or later. If patching is not immediately possible disable Confluence or restrict access to trusted networks only.
CVE-2022-22965,Spring4Shell - Spring Framework RCE,A Spring MVC or Spring WebFlux application running on JDK 9+ may be vulnerable to remote code execution via data binding. This allows attackers to achieve arbitrary file write leading to full system compromise.,critical,Spring Framework 5.3.x < 5.3.18 and 5.2.x < 5.2.20,9.8,0.972,Affects any Spring MVC application deployed as a WAR on a servlet container. Patch urgently before wider exploitation.,Upgrade Spring Framework to 5.3.18+ or 5.2.20+. Upgrade spring-webmvc or spring-webflux as a minimum. Ensure JDK 9+ applications are reviewed.
CVE-2023-44487,HTTP/2 Rapid Reset DDoS Attack,A design flaw in the HTTP/2 protocol allows attackers to conduct Denial of Service (DoS) attacks by sending a stream of HEADERS frames immediately followed by RST_STREAM frames. This can overwhelm servers and disrupt service availability.,high,HTTP/2 Protocol Implementation - multiple vendors,7.5,0.821,Coordinated disclosure across major cloud providers. Record-breaking DDoS attacks observed exceeding 398 million rps.,Apply vendor patches for your HTTP server (nginx Apache Tomcat etc). Enable rate limiting on RST_STREAM frames. Consider placing WAF/CDN in front of exposed services.
CVE-2023-23397,Microsoft Outlook Privilege Escalation via NTLM Hash Leak,A critical zero-click vulnerability in Microsoft Outlook allows attackers to steal NTLM hashes by sending a specially crafted email. The victim does not need to open the email - delivery alone triggers the exploit via calendar reminders.,critical,Microsoft Outlook 2013-2021 and Microsoft 365,9.8,0.934,Exploited in the wild by APT28 (Fancy Bear) since April 2022. Targets include government defense and energy sectors.,Apply Microsoft March 2023 Patch Tuesday updates immediately. Block outbound TCP 445 at the perimeter. Add users to Protected Users security group to prevent NTLM authentication.
CVE-2022-41082,Microsoft Exchange Server RCE (ProxyNotShell),A remote code execution vulnerability in Microsoft Exchange Server that requires authentication. Often chained with CVE-2022-41040 (SSRF) to achieve full server compromise without requiring special privileges.,high,Microsoft Exchange Server 2013/2016/2019,8.8,0.968,Chained exploits observed in the wild targeting Exchange on-premises deployments. Known PoC available publicly.,Apply November 2022 Exchange Security Updates. As interim mitigation add blocking rule for X-Powershell-Backend header in IIS. Consider disabling remote PowerShell for non-admin users.
CVE-2023-20198,Cisco IOS XE Web UI Privilege Escalation,A critical vulnerability in the web UI feature of Cisco IOS XE Software allows unauthenticated remote attackers to create an account with privilege level 15 access giving full administrative control of the device.,critical,Cisco IOS XE Software 16.x/17.x with web UI enabled,10.0,0.961,Actively exploited with thousands of devices backdoored. Implant (CVE-2023-20273) dropped post-exploitation. Disable web UI immediately.,Disable the HTTP Server feature using no ip http server and no ip http secure-server commands. Apply Cisco patch when available. Monitor for unauthorized accounts with privilege level 15.
CVE-2023-4966,Citrix Bleed - NetScaler Information Disclosure,A sensitive information disclosure vulnerability in Citrix NetScaler ADC and Gateway allows unauthenticated attackers to retrieve session tokens from device memory. Active exploitation allows authentication bypass and session hijacking.,critical,Citrix NetScaler ADC and Gateway < 14.1-8.50,9.4,0.942,Ransomware groups including LockBit 3.0 actively exploiting. Existing sessions must be terminated even after patching as tokens may already be compromised.,Update NetScaler to patched version immediately. Terminate all active sessions after patching. Rotate credentials for accounts that authenticated via NetScaler. Enable multi-factor authentication.
CVE-2021-34527,PrintNightmare Windows Print Spooler RCE,A remote code execution vulnerability in the Windows Print Spooler service allows attackers with basic user privileges to run arbitrary code with SYSTEM privileges. Can be exploited both locally and remotely via Point and Print.,high,Windows Print Spooler - All Windows versions,8.8,0.964,Multiple PoC exploits publicly available. Widely exploited by ransomware groups and APTs. Affects all Windows systems.,Disable Windows Print Spooler service on non-print servers. Apply Microsoft July 2021 emergency patch KB5004945. Restrict inbound SMB traffic. Use Group Policy to restrict Print Spooler to local connections only.
CVE-2022-30190,Follina - Microsoft MSDT Remote Code Execution,A remote code execution vulnerability in Microsoft Windows Support Diagnostic Tool (MSDT) that is triggered when Office documents call the msdt URI scheme. Allows arbitrary code execution without macros enabled.,high,Microsoft Windows MSDT - Windows 7 through 11,7.8,0.952,Zero-day exploited in the wild before patch. Delivered via malicious Word documents. North Korean and Chinese APTs observed using this vulnerability.,Apply Microsoft June 2022 Patch Tuesday updates. As mitigation disable MSDT URL protocol by deleting the registry key HKEY_CLASSES_ROOT\ms-msdt. Block execution of Office documents from the internet.
CVE-2023-28252,Windows Common Log File System Driver Elevation of Privilege,A use-after-free vulnerability in the Windows Common Log File System (CLFS) driver allows local attackers to elevate privileges to SYSTEM level. Frequently used as a second-stage exploit following initial access.,high,Windows CLFS Driver - Windows 10/11 and Server 2019/2022,7.8,0.621,Used by Nokoyawa ransomware group to achieve SYSTEM privileges after initial access. Part of a larger attack chain.,Apply April 2023 Patch Tuesday update KB5025221. Enable Windows Defender Credential Guard. Monitor for unusual CLFS driver access patterns.
CVE-2023-34362,MOVEit Transfer SQL Injection,A SQL injection vulnerability in Progress MOVEit Transfer allows unauthenticated attackers to gain unauthorized access to MOVEit Transfer databases and potentially escalate privileges. Exploited massively by the Cl0p ransomware group.,critical,Progress MOVEit Transfer < 2021.1.7 / 2022.0.7 / 2022.1.11 / 2023.0.3,9.8,0.975,Zero-day exploited in massive supply chain attack by Cl0p. Hundreds of organizations breached including government agencies and major enterprises.,Apply MOVEit patches immediately. Review MOVEit logs for IOCs (webshells named human2.aspx or x.aspx). Disable HTTP/HTTPS traffic to MOVEit Transfer until patched. Audit all user accounts.
CVE-2021-21985,VMware vCenter Server RCE via vSAN Health Check Plugin,A remote code execution vulnerability in the vSAN Health Check plugin for VMware vCenter Server. The plugin is enabled by default and allows unauthenticated attackers to execute code with unrestricted privileges on the vCenter server.,critical,VMware vCenter Server 6.5/6.7/7.0,9.8,0.971,Mass exploitation observed. Attackers deploying ransomware and cryptominers on ESXi hosts post-exploitation. Entire VMware infrastructure at risk.,Upgrade vCenter Server to patched version. Disable the vSAN Health Check plugin if not needed. Restrict access to vCenter management interfaces to trusted networks only.
CVE-2022-3786,OpenSSL X.509 Email Address Buffer Overflow,A buffer overflow vulnerability in OpenSSL X.509 certificate verification. A malicious actor can craft a certificate with a specially crafted email address field that could cause a stack overflow potentially leading to a crash.,high,OpenSSL 3.0.0 - 3.0.6,7.5,0.521,Initially feared to be critical (pre-announcement hype). Actual exploitability lower than anticipated. Requires attacker to control a malicious certificate.,Update OpenSSL to version 3.0.7 or later. Review all services that perform TLS client certificate verification. Prioritize internet-facing services.
CVE-2023-29357,Microsoft SharePoint Server Privilege Escalation,A privilege escalation vulnerability in Microsoft SharePoint Server allows an unauthenticated attacker to gain administrator-level access by using a spoofed JWT authentication token. Can be chained with RCE vulnerabilities.,critical,Microsoft SharePoint Server 2019,9.8,0.874,PoC publicly released. Can be chained with CVE-2023-24955 for full unauthenticated RCE. Microsoft observed active exploitation in the wild.,Apply June 2023 Patch Tuesday updates. Enable AMSI integration for SharePoint. Disable legacy authentication protocols. Monitor SharePoint ULS logs for unusual access patterns.
